Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ziaf	A	0101	Jadljetefl	B200425-B		Ni Va		610	ZhIN	F5 V	{ 1 }	(734-1)	[2539]		8	-84
Ziaf	A	0103	Ens Zhdo	X568732-2		Ag Ri Fo	R	205	ZhIN	G8 V	{ 0 }	(965-4)	[3711]		15	-1080
Ziaf	A	0104	Ienazh	A534743-9	KM			902	ZhIN	M3 V	{ 2 }	(B6B-1)	[4926]		13	-726
Ziaf	A	0106	Spridlepl	B535840-9	KM	Ph		223	ZhIN	G3 V	{ 2 }	(F7B-2)	[3A14]		12	-2310
Ziaf	A	0107	Chtalekl	B552635-9		Ni Po		304	ZhIN	K9 V M3 V	{ 0 }	(C54-2)	[4637]		9	-480
Ziaf	A	0109	Jaitnab	A543475-A	KM	Ni Po		403	ZhIN	F0 V	{ 2 }	(935+1)	[2638]		6	135
Ziaf	A	0110	Tlaprezhel	B4377B6-8				303	ZhIN	K4 IV	{ 0 }	(C68-1)	[6747]		9	-576
Ziaf	E	0114	Frezhietsed	C783643-5		Ni Ri Da	A	412	ZhIN	G5 V	{ -1 }	(853-4)	[3522]		15	-480
Ziaf	E	0115	Nivrdiatia	B789410-8	W	Ni Da	A	904	ZhIN	M3 V	{ 0 }	(A33-4)	[1413]		13	-360
Ziaf	E	0116	Qiejik	E774427-5		Ni Pa		701	ZhIN	F8 V	{ -3 }	(631-3)	[4155]		5	-54
Ziaf	E	0119	Dlashte	C543510-8		Ni Po		802	ZhIN	F6 V M1 V	{ -2 }	(942-5)	[1313]		11	-360
Ziaf	I	0125	Shipebr	X42369A-7		Na Ni Po Fo	R	324	ZhIN	M1 V M6 V	{ -3 }	(851-1)	[8379]		15	-40
Ziaf	I	0127	Iefriaqr	B758655-7		Ag Ni		604	ZhIN	G6 V	{ 0 }	(854-2)	[4635]		7	-320
Ziaf	I	0128	O'staz	A000624-D	KM	As Na Ni Va Cp		531	ZhIN	M0 V M4 V	{ 2 }	(C56+1)	[483B]		10	360
Ziaf	I	0129	Iense	C571679-9		He Ni		414	ZhIN	G8 V	{ -1 }	(D53+1)	[756A]		9	195
Ziaf	M	0131	Fliaplav	C20088A-8		Na Va Ph Pi		603	ZhIN	F9 V	{ -1 }	(D77+1)	[A77A]		10	637
Ziaf	M	0132	Deifr	B597774-9	KM	Ag Pi		825	ZhIN	F4 V F8 V M4 V	{ 3 }	(G6C+1)	[5A37]		14	1152
