Code	Name	Location
Adda	Addaxur	Zhodani space
Aezo	Aezorgh	Wind
Akee	Akeed	Gate
Aqua	Aquans (Daga)/Aquamorphs (Alph)	Daga (Aquans)/Alph (Aquamorphs)
Asla	Aslan	major
Bhun	Brunj	Forn
Brin	Brinn	Corr
Bruh	Bruhre	Daib/Reav
Buru	Burugdi	Dagu/Thet
Bwap	Bwaps	Imperial/Vilani space
Chir	Chirpers	major
Clot	Clotho	Tien
Darm	Darmine	Zaru
Dary	Daryen	Spin
Dolp	Dolphins	Imperial/Solomani space
Droy	Droyne	major
Dync	Dynchia	Leon
Esly	Eslyat	Beyo/Vang
Flor	Floriani	Beyo/Troj
Geon	Geonee	Mass
Gnii	Gniivi	Hint
Gray	Graytch	Dagu/Gush/Ilel
Guru	Gurungan	Solo
Gurv	Gurvin	Hiver space
Hama	Hamaran	Dagu
Hive	Hiver	Hiver space
Huma	Human	Imperial/Solomani space
Ithk	Ithklur	Hiver space
Jaib	Jaibok	Thet
Jala	Jala'lak	Dagu
Jend	Jenda	Hint/Leon
Jonk	Jonkeereen	Dene/Spin
K'kr	K'kree	K'kree space
Kafo	Kafoe	Cruc
Kagg	Kaggushus	Mass
Karh	Karhyri	Cruc
Kiak	Kiakh'iee	Dagu
Lamu	Lamura Gav/Teg	Hint
Lanc	Lancians	Dagu/Gush
Libe	Liberts	Daib/Dias
Llel	Llellewyloly	Spin
Luri	Luriani	Forn/Ley
Mal'	Mal'Gnar	Beyo
Mask	Maskai	Glim
Mitz	Mitzene	Thet
Muri	Murians	Vang
Orca	Orca	Imperial/Solomani space
Ormi	Ormine	Dark
S'mr	S'mrii	Dagu
Scan	Scanians	Dagu
Sele	Selenites	Alph
Sred	Sred*Ni	Beyo
Stal	Stalkers	Hint
Suer	Suerrat	Ilel
Sull	Sulliji	Dene
Swan	Swanfei	Gate
Sydi	Sydites	Ley
Syle	Syleans	Core
Tapa	Tapazmal	Reft
Taur	Taureans	Alde
Tent	Tentrassi	Zaru
Tlye	Tlyetrai	Reav
UApe	Uplifted Apes	Imperial/Solomani space
Ulan	Ulane	Dark
Ursa	Ursa	Forn/Ley
Urun	Urunishani	Anta
Varg	Vargr	Anta/Corr/Dagu/Dene/Empt/Ley/Lish/Spin/Vargr space
Vega	Vegans	Solo
Yile	Yileans	Gash
Za't	Za'tachk	Wren
Zhod	Zhodani	Zhodani space
Ziad	Ziadd	Dagu
Ramm	Rammak	Krus
