	Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	s	SS	W	RU	Tech-Mod	St	S	A	H	P	G	L	T	P	B	G	St		Ag 	As 	Ba 	De 	Fl 	He 	Hi 	Ic 	In 	Lo 	Na 	Ni 	Oc 	Po 	Ga 	Ri 	Va 	Wa 	Pa 	Pi 	Pr 	Ph 	An 	Cp		Di 	Fo 	Pz 	Da 	B	c	C	D	e	E	f	F	G	Location	Scout ID	Stars	M1000 Names	M0 Names	Rule of Man Names	Ziru Sirka	Res	Lab	Inf	i	Eff	e	Importance	Homogeneity	Acceptance	Strangeness	Symbols	Population	Human?	Alien?	 Human 	 Non-Human 	Human Minor	Important	Noble				x	y
Milieu 0	Alph	0102	Ishrushsarmi	E976000-A		Di 			{ -1 }	(802-2)	[6028]				800	ImDs	G7 V	1	P	15	0	0	5	9	7	6	0	0	0	10	8	0	0	E	1																										Di 				B									Alph 3239	976-	G7 V	Bolivar	Ishrushsarmi	Mishdi	Mishdi	8	0	2	2	-2	-2	-1	6	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0105	Aamgadnishka	D435000-A		Di 			{ -1 }	(D04+3)	[9028]				414	ImDs	M3 V M3 V	2	P	13	0	4	4	4	3	5	0	0	0	10	4	1	4	D	1																										Di 				B									Alph 3239	435-	M3 V M3 V	Ranim	Aamgadnishka	Igika	Igika	D	0	4	4	+3	3	-1	9	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-1						
Milieu 0	Alph	0106	Pakimgikhip	D635000-A		Di 			{ -1 }	(B03-1)	[6028]				103	ImDs	F0 V	1	P	12	0	3	4	6	3	5	0	0	0	10	1	0	3	D	1																										Di 				B									Alph 3239	635-	F0 V	Harran	Pakimgikhip	Glaakii	Galaakiikak	B	0	3	3	-1	-1	-1	6	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Alph	0108	Degi	D556000-A		Di 			{ -1 }	(903-4)	[1028]				121	ImDs	K3 IV M0 V 	2	P	18	0	4	4	5	5	6	0	0	0	10	1	2	1	D	1																										Di 				B									Alph 3239	556-	K3 IV M0 V 	Douden	Degi	Mmumazir	Imumazir	9	0	3	3	-4	-4	-1	1	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Alph	0110	Iidirdakhaa	B553000-A	Po 	Di 			{ 1 }	(801-3)	[1028]				704	ImDs	K2 V	1	P	11	0	7	2	5	5	3	0	0	0	10	7	0	4	B	1														Po 												Di 				B									Alph 3239	553-	K2 V	Sharif	Iidirdakhaa	Aaminmarzi	Aaminmarzi	8	0	1	1	-3	-3	+1	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	1						
Milieu 0	Alph	0113	Gimalarlash	B000000-A	As Va 	Di 			{ 1 }	(701-3)	[1028]				304	ImDs	M2 V  	1	P	9	0	9	2	0	0	0	0	0	0	10	3	0	4	B	1		As 															Va 									Di 				B									Alph 3239	000-	M2 V  	Leisz	Gimalarlash	Arkazuk	Aarkazukhe	7	0	1	1	-3	-3	+1	1	0	2	8	 3.00 	 0.90 	0	 3 	 0 	0	1						
Milieu 0	Alph	0115	Giikidibi	F9A4000-A	Fl 	Di 			{ -1 }	(D01+1)	[8028]				015	ImDs	M1 V  	1	P	9	0	2	6	9	10	4	0	0	0	10	0	1	5	F	1					Fl 																					Di 				B									Alph 3239	9A4-	M1 V  	Lundvall	Giikidibi	Aharsha	Laasharsha	D	0	1	1	+1	1	-1	8	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0119	Kidag	C200000-A	Va 	Di 			{ 0 }	(A04-3)	[1028]				113	ImDs	A6 V  	1	P	9	0	7	3	2	0	0	0	0	0	10	1	1	3	C	1																	Va 									Di 				B									Alph 3239	200-	A6 V  	Baytapik	Kidag	O	Admali	A	0	4	4	-3	-3	+0	1	0	2	8	 1.00 	 0.90 	0	 1 	 0 	0	0						
Milieu 0	Alph	0121	Ushmukhili	D645000-A		Di 			{ -1 }	(A03-5)	[1028]				602	ImDs	M1 V  	1	P	9	0	2	4	6	4	5	0	0	0	10	6	0	2	D	1																										Di 				B									Alph 3239	645-	M1 V  	Sturken	Ushmukhili	Agaga	Argagakpu	A	0	3	3	-5	-5	-1	1	0	2	8	 6.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Alph	0123	Shikishurshiin	C83A000-A	Wa 	Di 			{ 0 }	(801-2)	[1028]				412	ImDs	A8 V M6 V 	2	P	12	0	8	3	8	3	10	0	0	0	10	4	1	2	C	1																		Wa 								Di 				B									Alph 3239	83A-	A8 V M6 V 	Denebola	Shikishurshiin	Hhedu	Shakhedu	8	0	1	1	-2	-2	+0	1	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	0						
Milieu 0	Alph	0124	Irlasebir	B100000-7	Va 	Di 			{ -1 }	(501-1)	[1028]				001	ImDs	M2 V K0 V	2	P	11	0	10	2	1	0	0	0	0	0	7	0	0	1	B	1																	Va 									Di 				B									Alph 3239	100-	M2 V K0 V	Carbuncle	Irlasebir	Mashi	Imlakashi	5	0	1	1	-1	-1	-1	1	0	2	8	 -   	 0.90 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0125	Garkhikisha	C545000-A		Di 			{ 0 }	(C06+2)	[6028]				004	ImDs	M3 V	1	P	9	0	5	3	5	4	5	0	0	0	10	0	0	4	C	1																										Di 				B									Alph 3239	545-	M3 V	Graff	Garkhikisha	Agerdu	Argerdukhum	C	0	6	6	+2	2	+0	6	0	2	8	 -   	 0.10 	0	 -   	 -   	0	0						
Milieu 0	Alph	0128	Iishligguma	F553000-A	Po 	Di 			{ -1 }	(901-5)	[1028]				522	ImDs	K5 V	1	P	8	0	2	6	5	5	3	0	0	0	10	5	2	2	F	1														Po 												Di 				B									Alph 3239	553-	K5 V	Kedin	Iishligguma	Nnlekum	Enlekum	9	0	1	1	-5	-5	-1	1	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Alph	0129	Igshaku	D545000-A		Di 			{ -1 }	(804-2)	[3028]				801	ImDs	M0 V M1 V 	2	P	12	0	3	4	5	4	5	0	0	0	10	8	0	1	D	1																										Di 				B									Alph 3239	545-	M0 V M1 V 	Keats	Igshaku	Ealin	Epalinur	8	0	4	4	-2	-2	-1	3	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0130	Pargash	C100000-B	Va 	Di 			{ 0 }	(901-2)	[1028]				404	ImDs	M2 V M0 V 	2	P	7	0	7	3	1	0	0	0	0	0	11	4	0	4	C	1																	Va 									Di 				B									Alph 3239	100-	M2 V M0 V 	Toonge	Pargash	Makimi	Maakimirkiid	9	0	1	1	-2	-2	+0	1	0	2	8	 4.00 	 0.90 	0	 4 	 0 	1	0						
Milieu 0	Alph	0201	Ikadkhari	B310000-A		Di 			{ 1 }	(604-2)	[1028]				800	ImDs	M0 V M6 V 	2	P	16	0	9	2	3	1	0	0	0	0	10	8	0	0	B	1																										Di 				B									Alph 3239	310-	M0 V M6 V 	Quetzlcoatl	Ikadkhari	Aamilakhi	Kamilakhi	6	0	4	4	-2	-2	+1	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	1						
Milieu 0	Alph	0203	Arlumkemrash	C847000-A		Di 			{ 0 }	(501+1)	[3028]				500	ImDs	G6 V M4 V 	2	P	13	0	5	3	8	4	7	0	0	0	10	5	0	0	C	1																										Di 				B									Alph 3239	847-	G6 V M4 V 	Etienne	Arlumkemrash	Mzumershuu	Amzumershuu	5	0	1	1	+1	1	+0	3	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	0						
Milieu 0	Alph	0204	Lamgarkegar	E435000-A		Di 			{ -1 }	(801-4)	[1028]				803	ImDs	M2 V  	1	P	11	0	3	5	4	3	5	0	0	0	10	8	0	3	E	1																										Di 				B									Alph 3239	435-	M2 V  	Antraillia	Lamgarkegar	Ggsashgii	Gigsashgiiden	8	0	1	1	-4	-4	-1	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0208	Ziragikuu	E423000-A	Po 	Di 			{ -1 }	(A01-4)	[2028]				013	ImDs	M2 V  	1	P	13	0	3	5	4	2	3	0	0	0	10	0	1	3	E	1														Po 												Di 				B									Alph 3239	423-	M2 V  	Imka	Ziragikuu	Kakdinna	Akdinna	A	0	1	1	-4	-4	-1	2	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0210	Andaad	F310000-A		Di 			{ -1 }	(801-5)	[1028]				202	ImDs	M2 V K1 V 	2	P	11	0	3	6	3	1	0	0	0	0	10	2	0	2	F	1																										Di 				B									Alph 3239	310-	M2 V K1 V 	Merel	Andaad	Girmurk	Giirmurkakii	8	0	1	1	-5	-5	-1	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-1						
Milieu 0	Alph	0216	Shikhagidmap	D6B1000-A	Fl He 	Di 			{ -1 }	(A04-4)	[1028]				021	ImDs	K4 V K4 V	2	P	6	0	4	4	6	11	1	0	0	0	10	0	2	1	D	1					Fl 	He 																				Di 				B									Alph 3239	6B1-	K4 V K4 V	Phlegethos	Shikhagidmap	Sikhagi	Shikhagidmap	A	0	4	4	-4	-4	-1	1	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0217	Khushgiinshir	FAA7000-A	Fl 	Di 			{ -1 }	(A01-3)	[3028]				823	ImDs	G9 V	1	P	10	0	2	6	10	10	7	0	0	0	10	8	2	3	F	1					Fl 																					Di 				B									Alph 3239	AA7-	G9 V	Minauros	Khushgiinshir	Hmkakir	Khamkakir	A	0	1	1	-3	-3	-1	3	0	2	8	 8.00 	 0.10 	0	 1 	 7 	1	-1						
Milieu 0	Alph	0220	Lirgarshasmem	B888000-A		Di 			{ 1 }	(B06+4)	[7028]				213	ImDs	G4 V	1	P	7	0	7	2	8	8	8	0	0	0	10	2	1	3	B	1																										Di 				B									Alph 3239	888-	G4 V	Menaf	Lirgarshasmem	Kakushka	Kaakushkaakiig	B	0	6	6	+4	4	+1	7	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	1						
Milieu 0	Alph	0221	Kukda	D100000-B	Va 	Di 			{ -1 }	(704+1)	[5028]				300	ImDs	M4 V M7 V	2	P	8	0	5	4	1	0	0	0	0	0	11	3	0	0	D	1																	Va 									Di 				B									Alph 3239	100-	M4 V M7 V	Brandon's Rock	Kukda	Mmipar	Imkishmipar	7	0	4	4	+1	1	-1	5	0	2	8	 3.00 	 0.90 	0	 3 	 0 	0	-1						
Milieu 0	Alph	0230	Narlikingu	D8C4000-A	Fl 	Di 			{ -1 }	(D03-5)	[1028]				023	ImDs	M2 V  	1	P	11	0	3	4	8	12	4	0	0	0	10	0	2	3	D	1					Fl 																					Di 				B									Alph 3239	8C4-	M2 V  	Hubishag	Narlikingu	Etojemp	Arshi	D	0	3	3	-5	-5	-1	1	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0302	Larshalama	C663000-A		Di 			{ 0 }	(906-2)	[2028]				410	ImDs	G0 V M2 V	2	P	8	0	4	3	6	6	3	0	0	0	10	4	1	0	C	1																										Di 				B									Alph 3239	663-	G0 V M2 V	Cortez	Larshalama	Ikhushshaki	Ikhushshaki	9	0	6	6	-2	-2	+0	2	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	0						
Milieu 0	Alph	0303	Dishledgergii	D423000-A	Po 	Di 			{ -1 }	(803-4)	[1028]				402	ImDs	G4 V  	1	P	9	0	5	4	4	2	3	0	0	0	10	4	0	2	D	1														Po 												Di 				B									Alph 3239	423-	G4 V  	Lilburn	Dishledgergii	Uudepa	Kudepa	8	0	3	3	-4	-4	-1	1	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	-1						
